index,vbm
144,-5.72337135717334
145,-6.37093269675675
146,-6.71294753840687
147,-6.56642960009775
148,-4.21073035764116
149,-5.17962819577811
150,-5.1252260808662
151,-5.60452359533898
152,-4.88665479273591
153,-5.94742941035567
154,-9.67546447410175
155,-6.93582903857065
156,-7.82666884017572
157,-7.62860649582839
158,-4.94690599401
159,-5.25794351649572
160,-5.98228403489398
161,-5.17220004337827
162,-5.05461186195304
163,-5.31482087177757
164,-5.09207557398814
165,-6.7907992409319
166,-5.46400667237321
167,-6.31263300874506
168,-5.84022237759496
169,-6.22103937466638
170,-6.01972537299554
171,-7.05449193539034
172,-7.53015430861576
173,-7.30896268988408
174,-6.89061847671428
175,-6.65987285430516
176,-5.81438115003835
177,-6.30458449595375
178,-6.14624253767369
179,-6.22648457780391
180,-8.60370313566716
181,-8.96340391759082
182,-4.57811056162459
183,-6.21787242433573
184,-7.45046691407098
185,-5.82408339202468
186,-8.80319345860824
187,-8.73691454900717
188,-6.71483430705422
189,-4.34726066367699
190,-3.91528484811629
191,-5.67505406651181
192,-6.41298576190217
193,-7.53226614156215
194,-7.12384095937192
195,-7.91400315628664
196,-7.2433454515251
197,-5.07179844546999
198,-6.20379063557688
199,-5.76181785225671
200,-5.27352526446441
201,-5.0054379404711
202,-5.57987880382989
203,-4.48516995479251
204,-5.8988239823084
205,-6.78273166780437
206,-5.21522620719541
207,-4.93271259972483
208,-8.19907916782374
209,-8.99739636500094
210,-5.35903535859384
211,-4.7179796232829
212,-7.00694080908246
213,-5.24207576909451
214,-9.14538683763367
215,-5.957253088634
216,-5.39420051376085
217,-4.50350562749227
218,-7.67184673160257
219,-7.81485632945897
220,-4.93185622135794
221,-6.796443521207
222,-4.4000254225667
223,-6.24175684179406
224,-6.26527867154731
225,-5.10828178007731
226,-4.88703881163723
227,-5.02153392406508
228,-4.93081517041134
229,-5.62943807126866
230,-4.51123797001413
231,-5.2182371804629
232,-7.69621857195572
233,-5.10225229922073
234,-4.46273186940415
235,-7.84072155032596
236,-6.26617385050843
237,-5.71044268209145
238,-4.92953518277906
239,-7.48404321753699
240,-5.45973435684096
241,-4.97680795961582
242,-4.36764951970595
243,-6.29038128459735
244,-5.7566745319188
245,-5.44974601046612
246,-5.32581754847776
247,-5.07012109940899
248,-7.73418409636726
249,-5.40812387770139
250,-4.79107205253383
