index,vbm
0,-4.08798902866642
1,-5.20028386561171
2,-3.62065928065124
3,-7.73644883521979
4,-6.5702115692498
5,-5.85711128617475
6,-7.52985906113598
7,-7.51307659470767
8,-10.8236675510923
9,-10.8305582338051
10,-6.41618569200248
11,-5.57272668888229
12,-8.37006394588984
13,-7.49503243459325
14,-7.82406907483701
15,-7.00447803515546
16,-6.01819668040769
17,-5.31607191747267
18,-4.76990441546091
19,-7.70404330027864
20,-7.46360813641809
21,-7.19213268134633
22,-7.37396650073839
23,-6.99966045721771
24,-6.90562329854019
25,-7.63405633901573
26,-6.5226320875233
27,-10.0053491116224
28,-5.02327923485489
29,-5.20963428021735
30,-7.80574410054781
31,-7.54589500495441
32,-4.04318368071608
33,-6.04320356330582
34,-6.09758680180368
35,-5.33002292082042
36,-4.82261885828324
37,-8.16645471902493
38,-7.50482189953993
39,-6.32511874878296
40,-7.98811812999759
41,-7.04262033426306
42,-5.99982430545548
43,-7.75257471738451
44,-6.5357708826255
45,-5.73286942761214
46,-4.65821099793588
47,-4.18603021237325
48,-6.19238441687542
49,-6.78109389200455
50,-5.96093001254146
51,-6.24460180556569
52,-4.93366461247795
53,-6.50349566769818
54,-6.66664113448149
55,-5.08163129200489
56,-4.74935521183607
57,-6.97000103493884
58,-4.20977343747253
59,-6.38788124782549
60,-6.43325451805651
61,-8.57480787343525
62,-8.65675765207126
63,-9.39917104571405
64,-9.10838283769308
65,-9.48354971326518
66,-7.1170782329241
67,-4.85045629344911
68,-4.9843501207514
69,-6.87055789048844
70,-6.86406166132653
71,-11.3957995303479
72,-8.51136704490107
73,-5.81200862849014
74,-10.0369979619734
75,-9.99460148076997
76,-10.311258075108
77,-6.34872245783372
78,-3.93555249072072
79,-4.07284481807427
80,-5.02634826085115
81,-6.10701788743994
82,-6.39456522171931
83,-3.80156726523097
84,-4.25005485975013
85,-5.49475505293122
86,-3.70785892968816
87,-9.55993022219001
88,-9.23723110173629
89,-9.42900315092028
90,-4.96524776941784
91,-8.27599324526646
92,-8.28787474486477
93,-9.18781029530476
94,-9.43945978419787
95,-5.44410253114458
96,-4.63321364073959
97,-6.8979633766969
98,-7.08201284758688
99,-6.60483688548651
100,-6.67193994801835
101,-8.2005997709015
102,-6.31955026579013
103,-5.7385106288871
104,-7.87255762400475
105,-7.67927509511914
106,-9.05911408408376
107,-8.30897714042935
108,-8.71045637659506
109,-10.2276151655157
110,-9.92771459723249
111,-9.6560740133085
112,-12.0632569623958
113,-6.77387500110262
114,-7.01250195759477
115,-6.98053059253384
116,-6.66873835992012
117,-4.46011063077491
118,-4.76292710717964
119,-8.21517518268068
120,-6.8311084848435
121,-7.18800782981805
122,-6.71838818354425
123,-6.88668438297386
124,-6.44339770053027
125,-6.33582490738517
126,-7.67386183008766
127,-6.25241452053017
128,-5.08534926388451
129,-5.83135698215809
130,-9.81536712779996
131,-5.54564926757209
132,-7.5297429546124
133,-7.51763372692233
134,-3.92202476879877
135,-9.13006129737568
136,-7.39316893098612
137,-5.49992335416944
138,-5.25743612058613
139,-5.79304580481004
140,-3.73707763481502
141,-3.88416102991861
142,-4.02881612760519
143,-9.24064967342745
144,-6.94660132364648
145,-7.60643897186111
146,-6.45518620406463
147,-6.40258796373787
148,-5.85532000010142
149,-5.76865377720624
150,-6.86202766939857
151,-7.38448519708241
152,-6.12029184163763
153,-7.75184197373894
154,-4.62056525762696
155,-6.15047856622437
156,-5.40951847133325
157,-5.26123070663295
158,-3.82036425469167
159,-10.3204972124239
160,-10.4271546489952
161,-9.93203274435024
162,-9.90575359846193
163,-10.6949387123712
164,-10.7575069373076
165,-5.1529385760697
166,-5.121916801426
167,-5.7046558453677
168,-6.61361336270169
169,-7.50148909028052
170,-6.89973276798363
171,-5.2773650761265
172,-6.45565670321358
173,-5.56079803793639
174,-9.78390613764298
175,-9.45151423596812
176,-9.6194702228107
177,-4.55358281888198
178,-9.78401417494007
179,-5.27330449719624
180,-9.80999261409519
181,-10.1283915277922
182,-9.91858080472773
183,-7.82804683201333
184,-8.90423155833362
185,-8.70581213519515
186,-9.29516566934697
187,-4.63395152928705
188,-4.55279737326355
189,-6.28932119427154
190,-7.74666084824361
191,-7.30814536182235
192,-7.10839566665047
193,-6.62076305195596
194,-7.56554529676935
195,-11.3874150186355
196,-7.94826080889456
197,-7.86911300859002
198,-8.46133945559526
199,-8.74228174790646
200,-7.72658875870389
201,-6.75510545820874
202,-6.89103678253061
203,-7.08580374034489
204,-5.02336457577017
205,-5.61958269539537
206,-5.39835361385401
207,-4.71976745912606
208,-7.36602822581617
209,-7.16730301142844
210,-5.89551384905759
211,-7.38018675989629
212,-7.23620591495288
213,-7.53164341626835
214,-6.37352554299174
215,-7.61743394665988
216,-7.22169218448125
217,-6.07273072179187
218,-5.26940198885496
219,-5.50278129739535
220,-5.67253301852123
221,-5.95526092958454
222,-6.66663330669015
223,-5.26496399565483
224,-3.60651612153186
225,-9.48099930386487
226,-9.69507365303617
227,-9.58608647369157
228,-7.62222061973644
229,-7.4879180711903
230,-6.0646025810746
231,-5.10752650263943
232,-4.43020508896471
233,-6.87192671913435
234,-8.04795682078863
235,-7.90735596635397
236,-8.69426256961055
237,-8.3448060524902
238,-7.05820485376696
239,-7.20490593513002
240,-6.9109625833183
241,-6.80262780719183
242,-6.58204231747528
243,-6.52674116644051
244,-7.47690862238182
245,-7.54658667500945
246,-7.48455965158209
247,-6.40172201560261
248,-6.43092823704995
249,-6.04922460737619
250,-6.00158695526974
251,-5.01700573773827
252,-8.03853051528681
253,-7.50088204648714
254,-6.31048900864839
255,-7.23933307295298
256,-5.82145587382566
257,-6.42143640642677
258,-5.68833193576812
259,-6.84758083057036
260,-7.35997444741327
261,-7.29443507081974
262,-3.80914723487758
263,-5.8366205315147
264,-7.25480057621651
265,-7.24075271354678
266,-4.62184968712808
267,-9.70943255241706
268,-6.82731807280173
